source,relationship,target
postgresql.exe,execute,certutil
certutil,check connectivity to,trustsecpro[.]com
certutil,check connectivity to,whatismyip[.]com
certutil,download,confluence[.]novus[.]ua
PowerShell script,execute,text.ps1
PowerShell script,execute,gp.ps1
PowerShell script,execute,link.ps1
PowerShell script,deploy,Trojan.KillDisk
sqlservr.exe,execute,CSIDL_SYSTEM\services.exe
CSIDL_SYSTEM\services.exe,execute,CSIDL_SYSTEM\wininit.exe
CSIDL_SYSTEM\wininit.exe,execute,PowerShell command
PowerShell command,download,hxxp://[INTERNAL_HOST]/label.ico
PowerShell command,save as,C:	emp\sys.tmp1
ransomware,include,client.exe
ransomware,include,cdir.exe
ransomware,include,cname.exe
ransomware,include,connh.exe
ransomware,include,intpub.exe
wiper,disguised as,"ransomware),"
Antlion,use,Custom Backdoor
Antlion,deploy,xPack
Antlion,deploy,xPack backdoor
Noberus,generate,Tor address
Tor address,visit,"http://mu75ltv3lxd24dbyu6gtvmnwybecigs5auki7fces437xvvflzva2nqd.onion/?access-key=${ACCESS_KEY},"
SFTP server,IP,159.89.128.13
WebDav client,URL,https://159.89.128.13/data/
Latin American banking Trojan,directed to,hxxps://centreldaconsulta[.]com/
Latin American banking Trojan,directed to,hxxps://www.centralcfconsulta[.]net/
Latin American banking Trojan,directed to,hxxps://centralcfconsulta[.]net/index3.php?api=vFUMIfUzGz2QdjxTFKAMyTlh
Latin American banking Trojan,directed to,hxxps://centralcfconsulta.net/
Latin American banking Trojan,directed to,hxxps://www.centralcfconsulta[.]net/index3.php?api=r0ubnHRxDycEy5uFPViNA55Y3t
Latin American banking Trojan,directed to,hxxps://centreldaconsulta[.]com/index3.php?api=nJsdr1J3h0fsG18sRAVQt6JjVW
Latin American banking Trojan,directed to,hxxps://centreldaconsulta[.]com/index3.php?api=ThMyMCAQEOLIC9nO
Latin American banking Trojan,directed to,hxxps://www.centralcfconsulta[.]net/index3.php?api=wen1eIFCeUh0jAS3mWIDUhSLt3sXMQ
MSI file,execute,msiexec.exe
msiexec.exe,connect,C&C server
msiexec.exe,download,mpr.dll
msiexec.exe,access,hxxp://13.36.240[.]208/ando998.002
msiexec.exe,access,hxxp://13.36.240[.]208/msftq.doge
msiexec.exe,access,hxxp://15.237.60[.]133/esperanca.lig2
msiexec.exe,access,hxxp://15.237.60[.]133/esperanca.liga
msiexec.exe,access,hxxp://52.47.163[.]237/microsft.crts
msiexec.exe,access,hxxp://52.47.163[.]237/nanananao.uooo
msiexec.exe,access,hxxp://15.237.27[.]77/carindodone.ways
mpr.dll,load,VBoxTray.exe
"Latin American banking Trojans,",created for,VBoxTray.exe
VBoxTray.exe,side-loaded with,mpr.dll
Antlion,use,xPack backdoor
Antlion,use,EHAGBPSL loader
EHAGBPSL loader,loaded by,JpgRun loader
JpgRun loader,similar to,xPack backdoor
CheckID,based on,BlackHole RAT
CheckID,leverage,PowerShell
CheckID,leverage,WMIC
CheckID,leverage,ProcDump
CheckID,leverage,LSASS
CheckID,leverage,PsExec
CheckID,abuse,AnyDesk tool
CheckID,exploit,CVE-2019-1458
Antlion,use,xPack backdoor
xPack backdoor,execute,VBS script
xPack backdoor,execute,PsExec
（attacker,launch,xPack backdoor
Antlion,involved in,espionage activities
Shuckworm group,aka,Gamaredon
Shuckworm group,aka,Armageddon
Shuckworm group,conduct,cyber-espionage attacks
Shuckworm,specialize in,cyber-espionage campaigns
Shuckworm,distribute,UltraVNC
Shuckworm,distribute,Pterodo/Pteranodon
Shuckworm,use,depended.lnk
depended.lnk,execute,depended.exe
depended.exe,download from,hxxp://92.242.62.131/wordpress.php?is=[REDACTED]
depended.exe,hash,94a78d5dce553832d61b59e0dda9ef2c33c10634ba4af3acb7fb7cf43be17a5b
mshta.exe,abusing by,depended.exe
Pterodo,installed via,depended.exe
wscript.exe,execute,webmedia.m3u
wscript.exe,execute,22333.docx
wscript.exe,execute,9140.d
wscript.exe,execute,battery.dat
cmd.exe,execute,battery.cmd
cmd.exe,execute,ping.exe
ping.exe,ping,arianat.ru
C&C server,connect to,Pterodo backdoor
Pterodo backdoor,download,scripts and tools
mshta.exe,execute,7-ZIP.html
mediatv.mov,execute,wscript.exe
videotv.m3u,execute,wscript.exe
planeta.exe,execute,cmd.exe
planeta.exe,hash,1ea3881d5d03214d6b7e37fb7b10221ef51782080a24cc3e275f42a3c1ea99c1
Pterodo,download and execute,deerskin.exe
deerskin.exe,dropper for,VNC client
deerskin.exe,SHA256,ad1f796b3590fcee4aeecb321e45481cac5bc022500da2bdc79f768d08081a29
deerskin.exe,ping,8.8.8.8
deerskin.exe,establish connection to,mucoris.ru:5612
Pterodo,execute,deep-sided.fly
deep-sided.fly,download and execute,deerskin.exe
deerskin.exe,dropper for,VNC client
deerskin.exe,SHA256,ad1f796b3590fcee4aeecb321e45481cac5bc022500da2bdc79f768d08081a29
deerskin.exe,ping,8.8.8.8
deerskin.exe,establish connection to,mucoris.ru:5612
deerskin.exe,hash,1ddc9b873fe4f4c8cf8978b6b1bb0e4d9dc07e60ba188ac6a5ad8f162d2a1e8f
Shuckworm,use,descend.exe
(descend.exe,hash,0d4b8e244f19a009cee50252f81da4a2f481da9ddb9b204ef61448d56340c137
descend.exe,drop,deerbrook.ppt
deerbrook.ppt,hash,b46e872375b3c910fb589ab75bf130f7e276c4bcd913705a140ac76d9d373c9e
descend.exe,contacts,deep-pitched.enarto.ru
descend.exe,download,deep-sunken.tmp
deep-sunken.tmp,rename to,deep-sunken.exe
deep-sunken.exe,hash,02c41bddd087522ce60f9376e499dcee6259853dcb50ddad70cb3ef8dd77c200
deep-sunken.exe,drop,%APPDATA%abyaby.cmd
deep-sunken.exe,drop,%APPDATA%abyaby.dat
deep-sunken.exe,drop,%APPDATA%abyasement.exe
deep-sunken.exe,drop,%APPDATA%abyb_baby.vbs
baby.dat,execute,baby.cmd
baby.cmd,download and execute,C&C server
backed.exe,downloaded from,C&C server
C&C server,domain,arianat.ru
z4z05jn4.egf.exe,similar to,deep-sunken.exe
z4z05jn4.egf.exe,hash,fd9a9dd9c73088d1ffdea85540ee671d8abb6b5ab37d66a760b2350951c784d0
defiant.exe,hash,a20e38bacc979a5aa18f1954df1a2c0558ba23cdc1503af0ad1021c330f1e455
defiant.exe,drop,%TEMP%\\deep-versed.nls
defiant.exe,drop,%PUBLIC\Pictures\deep-versed.nls
SCHTASKS,create,deep-versed.nls
deep-versed.nls,hash,817901df616c77dd1e5694e3d75aebb3a52464c23a06820517108c74edd07fbc
deep-versed.nls,save as,deep-green.exe
deep-green.exe,hash,1ddc9b873fe4f4c8cf8978b6b1bb0e4d9dc07e60ba188ac6a5ad8f162d2a1e8f
deep-green.exe,tool,UltraVNC
deep-green.exe,hash,f6c56a51c1f0139036e80a517a6634d4d87d05cce17c4ca5adc1055b42bf03aa
deep-green.exe,tool,procexp
deep-green.exe,hash,de5a53a3b75e3e730755af09e3cacb7e6d171fc9b1853a7200e5dfb9044ab20a
deep-green.exe,hash,d15a7e69769f4727f7b522995a17a0206ac9450cfb0dfe1fc98fd32272ee5ba7
ransomware,fueled by,initial access brokers
ransomware-as-a-service,used for,ransomware
botnets,repurposed to spread,ransomware
Trickbot,controlled by,Miner group
Miner group,linked to,Ryuk
Miner group,linked to,Conti
Conti,aka,Miner group
Conti,aka,Wizard Spider
SolarWinds hack,attack,Nobelium
Kaseya attack,attack,Nobelium
Tomiris,developed by,Nobelium
Tomiris,similar to,SUNSHUTTLE
FoggyWeb,linked to,Nobelium
supply chain attack,carried out by,REvil ransomware operators
Kaseya,belong to,supply chain attack
SolarWinds,belong to,supply chain attack
Hafnium,aka,Ant
ransomware attack,carried out by,DarkSide
Colonial Pipeline attack,related to,Chinese state-sponsored threat actors
CVE-2021-44228,been exploited to,coin miners
CVE-2021-44228,been exploited to,Conti
XMRig miner,download,PowerShell command
PowerShell command,execute,XMRig miner
XMRig miner,post-exploitation activity,Log4shell exploitation
malicious Java class file,act as,backdoor
Log4j-based application sandbox,include,*/curl
Log4j-based application sandbox,include,*/wget
Log4j application,connect to,external command-and-control servers
Noberus,belong to,Ransomware
ConnectWise,infection vector,ALPHV/BlackCat ransomware
Noberus,carry out,double extortion
Noberus,deploy,ConnectWise
ConnectWise,exploit,ransomware attackers
PsExec,deploy,Noberus ransomware
Noberus,execute,cmd.exe
cmd.exe,delete,vssadmin.exe
Noberus,use,PsExec
Ransom.Noberus,Navigate to,"(http://mu75ltv3lxd24dbyu6gtvmnwybecigs5auki7fces437xvvflzva2nqd.onion/?access-key=${ACCESS_KEY},"
Noberus,create ransomware note,RECOVER-sykffle-FILES.txt
Noberus,create ransomware note,RECOVER-sykffle-FILES.txt.png
Noberus,type,ransomware
Seedworm,aka,MuddyWater
ScreenConnect setup MSI,delivered in,Special discount program.zip
Special discount program.zip,arrived in,spear-phishing email
Telecoms attack,use,PowerShell
Telecoms attack,use,Net group
Telecoms attack,use,Certutil
Telecoms attack,use,Ligolo tunneling tool
Telecoms attack,use,WMI
"""exchange trusted subsystem"" domain group",queried by,Net group
scripts,use,cURL
scripts,use,eHorus
eHorus,deliver and run,LSASS dumping tool
eHorus,deliver,Ligolo tunneling tools
eHorus,execute,Certutil
Certutil,request,Exchange Web Services
PowerShell,download,Ligolo tunneling tool
Seedworm,responsible for,attacks
campaign,overlap in,tools
SharpChisel,used in,campaign
Password Dumper,used in,campaign
SharpChisel,documented by,Trend Micro
Password Dumper,documented by,Trend Micro
Iran,linked to,attacks
CVE-2021-45046,used for,DOS attack
attackers,deploy,ConnectWise
attackers,deploy,Adfind
attackers,deploy,SoftPerfect Network Scanner
attackers,use,GrabFF
attackers,use,GrabChrome
BrowserPassView,dump passwords from,Internet Explorer
BrowserPassView,dump passwords from,KeePass
KeeThief,copy master key from,KeePass
secretsdump.exe,dump credentials from,registry
ProxifierPE,proxy connections to,attacker-controlled infrastructure
Cent web browser,used by,attackers
Yanluowang,link,Thieflock
Canthroid,develop,Thieflock
Fivehands,develop,Thieflock
Thieflock,use,GrabFF
Thieflock,use,SoftPerfect Network Scanner
Thieflock,use,s3browser
Thieflock,use,Cent browser
BlackMatter,use,Exmatter
BlackMatter,linked to,StealBit
Exmatter,upload to,SFTP server
SFTP server,IP,165.22.84.147
Exmatter,start,powershell.exe
Exmatter,refine,tool
Exmatter,add,WebDav client
WebDav client,URL,https://157.230.28.192/data/
BlackMatter,linked to,Coreid
BlackMatter,used in,Darkside attack on Colonial Pipeline
Coreid,conduct,ransomware attacks
Exmatter,creation of,Coreid
Msiexec.exe,attempting to download,mpr.dll
campaign,similar characteristics and file names,Latin American banking Trojan
Unknown attacker,use,toolset
toolset,include,loaders
toolset,include,modular backdoor
toolset,include,keylogger
toolset,include,exfiltration tool
exfiltration tool,abuse,Dropbox
loader,load,sdc-integrity.dat
loader,load,scs-integrity.dat
attacker,use,loader
attacker,use,Orchestrator module
keylogger,used in,campaign
7zr,used in,campaign
7zr,version of,7-Zip archiver
data-exfiltration tool,send data to,Dropbox
Leafhopper group,aka,APT30
Harvester,use,custom malware
Harvester,use,Backdoor.Graphon
Backdoor.Graphon,use,Microsoft infrastructure
Harvester,deploy,toolset
Harvester,leverage,CloudFront
Harvester,leverage,Microsoft infrastructure
Custom Downloader,leverage,Costura Assembly Loader
Custom Downloader,download,hxxps://outportal[.]azurewebsites.net/api/Values_V2/Getting3210
Custom Downloader,check,[ARTEFACTS_FOLDER]\winser.dll
Backdoor.Graphon,loadpoint,MicrosoftSystemServices
Backdoor.Graphon,decoy,hxxps://usedust[.]com
Backdoor.Graphon,communicate with,Microsoft infrastructure
MicrosoftSystemServices,URL,hxxps://usedust[.]com
Backdoor.Graphon,communicate with,hxxps://microsoftmsdn[.]azurewebsites.net/api/Values_V1/AuthAsyncComplete_V1?Identity=[INFECTION_ID]
Backdoor.Graphon,communicate with,hxxps://microsoftsgraphapi[.]azurewebsites.net/api/Values_V1/AuthAsyncComplete_V1?Identity=[INFECTION_ID]
Backdoor.Graphon,communicate with,hxxps://msdnmicrosoft.azurewebsites[.]net/api/Values_V1/AuthAsyncComplete_V1?Identity=[INFECTION_ID]
cmd.exe,pull,attackers' servers
screenshot tool,packed with,Costura Assembly Loader
Harvester,use,custom backdoors
Harvester,use,C&C servers
AdFind,abused by,ransomware attackers
AdFind,reconnaissance tool,ransomware attackers
AdFind,equip,attackers
Yanluowang,deployed by,attackers
Yanluowang,use,Windows Management Instrumentation (WMI
Yanluowang,drop,README.txt
ransomware-as-a-service,involve,ransomware authors
ransomware-as-a-service,involve,breached data
ransomware-as-a-service,involve,ransom negotiations
ransomware-as-a-service,involve,ransomware developers
ransomware-as-a-service,involve,affiliates
affiliates,use,distinct tools
botnets,means of access,ransomware groups
Trickbot,owned by,Miner group
Miner group,aka,Wizard Spider
Trickbot,precursor to,Ryuk
Hispid,leveraged,Dridex botnet
Dridex botnet,originally built for,financial attacks
Dridex botnet,means of delivering,ransomware
IcedID,used by,Conti ransomware
botnet operators,collaborate with,Conti ransomware
Pegasus,developed by,NSO Group
Grayfly,use,Sidewalk
Grayfly,associated with,Chinese Threat Actor
Sidewalk backdoor,related to,Crosswalk backdoor
Sidewalk backdoor,deployed in,Grayfly campaigns
Sidewalk,attributed to,SparklingGoblin
SparklingGoblin,linked to,Winnti malware family
Sidewalk,attributed to,Grayfly
Grayfly,attributed to,Chinese espionage operation
Grayfly,aka,GREF
Grayfly,aka,Wicked Panda
Grayfly,use,Backdoor.Motnug
Backdoor.Motnug,aka,TOMMYGUN/CROSSWALK
Grayfly,use,Trojan.Chattak
Grayfly,use,Cobalt Strike
Grayfly,install,custom backdoors
Grayfly,labeled as,APT41
Grayfly,espionage arm of,APT41
Blackfly,cyber-crime arm of,APT41
web shell,executed,backdoor
backdoor,deploy,Mimikatz
Mimikatz,used by,Grayfly
Mimikatz,execute,csidl_system_drive\perflogs\ulsassx64.exe
csidl_system_drive\perflogs\ulsassx64.exe,hash,b3eb783b017da32e33d19670b39eae0b11de8e983891dd4feb873d6e9333608d
Grayfly,used by,Chengdu 404
ProxyShell,exploited from,209.14.0[.]234
LockFile ransomware,use,ProxyShell
LockBit ransomware gang,use,email protected] [.]com
email protected] [.]com,reference,Conti gang
attacker,execute,powershell
powershell,wget,hxxp://209.14.0[.]234:46613/VcEtrKighyIFS5foGNXH
attacker,exploit,CVE-2021-36942
attacker,copy from,https://github.com/zcgonvh/EfsPotato
https://github.com/zcgonvh/EfsPotato,copy,efspotato.exe
efspotato.exe,has,active_desktop_render.dll
efspotato.exe,has,active_desktop_launcher.exe
active_desktop_launcher.exe,version of,KuGou Active Desktop
active_desktop_launcher.exe,used in,DLL search order loading attack
active_desktop_launcher.exe,load,active_desktop_render.dll
active_desktop_render.dll,load and decrypt,desktop.ini
encrypted shellcode,activates,efspotato.exe
LockFile,copy,Autologin.bat
LockFile,copy,Autologin.exe
LockFile,copy,Autologin.dll
LockFile,copy,Autologin.dll
LockFile,copy,Autoupdate.exe
Autoupdate.exe,variant of,LockFile
Autologin.exe,part of,Kernel Driver Utility
Autlogin.dll,part of,Kernel Driver Utility
Autologin.sys,part of,Kernel Driver Utility
Kernel Driver Utility,aka,KDU
KDU,from,https://github.com/hfiref0x/KDU
Tanikaze.dll,component of,Autlogin.dll
KDU,utilized in conjunction with,ransomware
Sodinokibi,lead to surge,LockBit
Sodinokibi,use,LockBit
LockBit,aka,Syrphid
LockBit,launch,ransomware-as-a-service (RaaS
ransomware,launch,mimi.exe
ransomware,named as,svhost.exe
LockBit,transition to,LockBit
LockBit,use,DefenderControl.exe
LockBit,use,NetworkShare
LockBit,use,Nsudo-dropper
LockBit,use,Mimikatz
LockBit,use,Defoff.bat
LockBit,use,DelSvc.bat
LockBit,use,Netscan
PasswordRevealer,used by,attackers
ransomware attack,switch to,Sodinokibi ransomware
attackers,use,Cobalt Strike
attackers,deliver,Conti ransomware
Conti ransomware,used in,high-profile ransomware attacks
attackers,use,BitsAdmin
attackers,deploy,Sodinokibi
attacker,use,living-off-the-land tools
living-off-the-land tools,include,Windows Management Instrumentation
living-off-the-land tools,include,ProcDump
living-off-the-land tools,include,PsExec
living-off-the-land tools,include,PAExec
living-off-the-land tools,include,Mimikatz
PotPlayer Mini,launch,potplayermini.exe
PotPlayer Mini,launched,ProcDump
PotPlayer Mini,launched,PsExec
PotPlayer Mini,launched,Mimikatz
PotPlayer Mini,launched,tunneling tool
ProcDump,used,LSASS.exe
Google Chrome Frame,parent file,chrome_frame_helper.exe
PAExec,launch,at.exe
at.exe,schedule execution,chrome_frame_helper.exe
PAExec,lateral movement,WMIC
WMIC,launch,chrome_frame_helper.exe
chrome_frame_helper.exe,launch,SharpHound
PAExec,execute,Mimikatz
WMI,run,chrome_frame_helper.exe
chrome_frame_helper.exe,execute,net.exe
chrome_frame_helper.exe,disguised as,chrome_proxy1.exe
attacker,motive,espionage
REvil,deliver,MSP software
supply chain attack,involve,MSP software
MSP software,use,Managed Service Providers
REvil,deliver,agent.crt
agent.crt,drop,MsMpEng.exe
MsMpEng.exe,side loads and executes,mpsvc.dll
REvil,use,Sodinokibi
REvil,use,Tor payment site
REvil,detected as,Ransom.Sodinokibi
REvil,developed by,Leafroller
REvil,associated with,Gandcrab
Leafroller,operate,Ransomware-as-a-Service
ransomware,use,virtual machines
virtual machines,aka,VMs
ransomware,hide within,VMs
RagnarLocker,run from,Oracle VirtualBox Windows XP VM
VirtualBox,delivered via,fuckyou.msi
VirtualBox,delivered via,fuck.msi
VirtualBox,delivered via,aa51978f.msi
VirtualBox,delivered via,s3c.msi
VirtualBox,create,runner.exe
runner.exe,compiled from,C:/builder/runner/main.go
runner.exe,used,go-ps library
runner.exe,install,VirtualBox VM
runner.exe,use,taskkill.exe
runner.exe,use,sc.exe
runner.exe,drop,starter.bat
runner.exe,execute,starter.bat
runner.exe,delete,starter.bat
Ransomware,rely on,dual-use tools
Ransomware,hide in,virtual machine
Conti,belong to,ransomware
attackers,use,Conti
CVE-2021-22893,exploited by,UNC2630
UNC2630,launch,SlowPulse
Hafnium,also known as,Ant
CVE-2021-26855,chain,CVE-2021-27065
SolarWinds,responsible for,SVR
SVR,aka,APT29
SVR,aka,Cozy Bear
SVR,aka,The Dukes
SolarWinds,use,Backdoor.Sunburst
SolarWinds attackers,steal,Duo
Rampant Kitten,develop,Android malware
Rampant Kitten,hidden in,app
Sunburst,target,SolarWinds
Spectre,belong to,remote access Trojan (RAT
CVE-2021-27857,exploit,Unified Messaging service
CVE-2021-27857,authenticated by,CVE-2021-26855
CVE-2021-27857,execute code on,Exchange Server
Hafnium/Ant,tracks as,Ant
attacker,execut,debug.bat
vdir,launched by,attackers
attackers,downloaded,sok.wia
sok.wia,connection with,94.177.123.16
attackers,used,Mimikatz
Mimikatz,execute,ProcDump
WinRAR,create,%system%\inetsrv\XmlLite.dll
uawmiver.exe,used to execute,set.bat
uawmiver.exe,used to execute,set1.bat
bitsadmin.exe,downloaded,3.avi
3.avi,download from,http://89.34.111.11/3
bitsadmin.exe,downloaded,CSIDL_PROFILE\public\2.bat
Exchange server,execute,current.exe
current.exe,inject,svchost.exe
Lazarus,aka,Appleworm
Lazarus,deploy,Trojan.Banswift
Trojan.Banswift,shared code with,Backdoor.Contopee
Lazarus,tool,Backdoor.Fimlis
Lazarus,tool,Backdoor.Fimlis.B
watering-hole attacks,link to,Downloader.Ratankba
Downloader.Ratankba,linked to,Lazarus tools
Lazarus,implicated in,WannaCry
WannaCry,incorporated,EternalBlue
EternalBlue,use,CVE-2017-0144
(EternalBlue,use,CVE-2017-0145
group,installed,Trojan.Fastcash
AppleJeus,used in,Cryptocurrency attacks
Sunburst,send data to,SolarWinds attacks
Raindrop,discovered in,SolarWinds
Raindrop,aka,Backdoor.Raindrop
Raindrop,deliver,Cobalt Strike
Raindrop,similar to,Teardrop
Teardrop,delivered by,Backdoor.Sunburst
Sunburst,installed through,SolarWinds Orion
Raindrop,installed under the name,bproxy.dll
Raindrop,install,7z.dll
Raindrop,install,mc_store.exe
Raindrop loader,installed in,astdrvx64.dll
Cobalt Strike,extracted from,Raindrop
Raindrop,act as,Teardrop
Raindrop,pack,Cobalt Strike Beacon
Raindrop,compiled from,7-Zip
7-Zip,source code,Raindrop
Raindrop,Export Names,Tcl/Tk projects
Raindrop,similar to,Teardrop
Raindrop,use,packer
Raindrop,use,Tcl/Tk projects
Raindrop,deploy,Cobalt Strike Beacon
Raindrop,similar configuration,Teardrop
Teardrop,sample hash,b820e8a2057112d0ed73bd7995201dbed79a79e13c79d4bdad81a22f12387e07
Raindrop,sample hash,be9dbbec6937dfe0a652c0603d4972ba354e83c06b8397d6555fd1847da36725
Teardrop,sample hash,f2d38a29f6727f4ade62d88d8a68de0d52a0695930b8c92437a2f9e4de92e418
SolarWinds attacks,related to,Raindrop
Sunburst Trojan,related to,Teardrop
SolarWinds,control,Sunburst
Sunburst,contact,C&C servers
google.com,ranslate into,142.250.72.238
Sunburst,send to,C&C server
Sunburst,launch,HTTP-based C&C
Sunburst,aka,Backdoor.Sunburst
Sunburst,Trojanize,SolarWinds Orion software
Sunburst,contact,C&C
Sunburst backdoor,delivered using,SolarWinds Orion
Sunburst backdoor,aka,Backdoor.Sunburst
SolarWinds' Orion software,deliver,Sunburst
Sunburst,disable,CrowdStrike processes
CrowdStrike processes,disable,csagent
CrowdStrike processes,disable,csfalconservice
CrowdStrike processes,disable,csdevicecontrol
Sunburst,contact,C&C server
Sunburst,check,api.solarwinds.com
Sunburst,modify,SolarWinds.Orion.Core.BusinessLayer.dll
Sunburst,attempt to resolve,avsvmcloud[.]com
Teardrop,deploy,Cobalt Strike
b820e8a2057112d0ed73bd7995201dbed79a79e13c79d4bdad81a22f12387e07,load,upbeat_anxiety.jpg
1817a5bf9c01035bcf8a975c9f1d94b0ce7f6a200339485d8f93859f8f6d730c,load,festive_computer.jpg
Backdoor.Teardrop,extract,Cobalt Strike
Cobalt Strike,connect,infinitysoftwares[.]com
rundll32.exe,load,resources.dll
resources.dll,access,lsass.exe
resources.dll,use,Mimikatz
malicious email campaigns,employ,email templates
malicious email campaigns,employ,subject lines
malicious email campaigns,employ,“From” addresses
malicious email campaigns,employ,IP addresses
malicious email campaigns,employ,URL domains
Tortoiseshell,deploy,information gathering tools
creative.strpjmp.com,make GET request to,creative.strpjmp.com
JavaScript codes,loaded in,creative.strpjmp.com
http://www.madafak[DOT]in/landing,send POST request to,www.madafak[DOT]in
chfeeds.vbe,acts as,downloader
downloader,download,PowerShell script
PowerShell script,download,registry.ps1
registry.ps1,download,POSHC2
POSHC2,communicate with,C&C server
C&C server,domain,host-manager.hopto.org
attackers,download,WinRAR
attackers,download,POSHC2 stager
POSHC2 stager,communicate with,C&C server
C&C server,IP,89.34.237.118
89.34.237.118,download,Rar32.exe
attackers,deploy,updated version of POSHC2 stager
updated version of POSHC2 stager,communicate with,C&C server
C&C server,IP,192.119.15.35
Quasar RAT,communicate with,C&C server
C&C server,IP,217.147.168.123
Quasar RAT,installed to,smss.exe
Trojanized updates,connect to,asushotfix[.]com
CVE-2018-8626,exploit,Windows Domain Name System
CVE-2018-8634,exploit,Microsoft text-to-speech
https://apitstatus.com/api.js?v=3.0.8,domain,apitstatus.com
apitstatus.com,post,attackers' domain
Leafminer,connect to,Leafminer
malware payload,used in,Leafminer
e-qht.az,used by,Leafminer
web server,hosted by,e-qht.az
post-compromise tools,originating from,e-qht.az
Leafminer,host,e-qht.az
Leafminer,use,THC Hydra
CVE-2018-8222,exploit,Device Guard
Device Guard,bypass,Windows PowerShell
CVE-2018-8232,introduce,Microsoft Macro Assembler
CVE-2018-8304,handle,Windows Domain Name System
attackers,communicate with,CloudMe.com
Tick,use,compromised web servers
Tick,use,C&C servers
Daserf,contact,www[.]dreamsig[.]com
Tick,use,ycghw.asp
Tick,use,charlie-harada[.]com
Tick,use,isozaki.sakura.ne[.]jp
Tick,use,www.aucsellers[.]com
Tick,use,www.lunwe[.]com
Tick,use,c-saika[.]jp
Tick,use,b33f4b8e776b94dc48c234ce9897cf74
Tick,use,kcm-store[.]com
Tick,use,htpc[.]jp
Tick,use,a629926313ee12163e1bdd2bb633e0e2
Tick,use,d3031438d80913f21ec6d3078dc77068
Tick,use,rlsolar[.]jp
Tick,use,d3031438d80913f21ec6d3078dc77068
hyydn.nortonsoft[.]com,C&C domain,Dripion
mhysix.mcfeesoft[.]com,C&C domain,Dripion
Condi,exploit,CVE-2023-1389
cdn2[.]duc3k[.]com,sibling domain,admin[.]duc3k[.]com
Laplas Clipper C2 panel,resolves to,laplas[.]app
laplas[.]app,IP,85[.]192[.]40[.]252
AndoryuBot,send GET request to,api.ipify.org
AndoryuBot,connect to,45[.]153[.]243[.]39
evilextractor[.]com,seen in,malware
malware,upload,FTP server
Demon,Configure,C2 domains
Demon,Use,Teamserver
Demon,Use,C2 domain
ukrtatnafta[.]org,Similar to,ukrtatnafta[.]com
LiGhT's Modded perlbot v2,C2 host,juice[.]baselinux[.]net
LiGhT's Modded perlbot v2,IP,85[.]239[.]33[.]32
UPX,compress,file
MyDoom,rotate through,C2 domains
MyDoom,spread through,file-sharing utilities
Emotet,aka,Geodo
Emotet,aka,Heodo
fundelivereddss[.]com,landing page of,Amazon pallet scam
fundelivereddss[.]com,seen in,electrical contractor
herbertm[.]shop,connected to,Fundelivereddss[.]com
scamadviser.com,negative reviews from,herbertm[.]shop
0day.today,domain,0day.today
attacker's actual location,IP,ngrok.com
Cryptonite,connect to,ipinfo.io
Cryptonite,connect to,ngrok.io
leonvi[.]ru,stopped while,investigating this scam
blackfriday[.]com,redirect to,blackftiday[.]com
nlackfriday[.]com,redirects to,totalav[.]com
blackfriday[.]com,similar to,slickdeals[.]net
slickdeals[.]net,owns subdomain,blackfriday[.]slickdeals[.]net
blackfriday.slickdelas[.]net,prompted visitors to install,Chromnius
phishing email,contain,Warzone RAT
attack,provide,remote access to attacker
Mirai Variant,download,http[:]//107[.]189[.]8[.]21/pedalcheta/cutie[.]x86_64
Mirai Variant,C&C server,cnc[.]goodpackets[.]cc
malicious code,deliver,malware
malware samples,include,Formbook
malware samples,include,Redline
Formbook,contains,C2 servers
Redline,submit to,C2 server
http://tempuri.org/Endpoint/CheckConnect,domain,sinmac[.]duckdns[.]org:2667
C2 traffic,format,njRat version
PowerShell command,connect to,gg1593[.]c1[.]biz
gg1593[.]c1[.]biz,points to,185[.]176[.]43[.]106
Cannondriver.exe,load,LBTServ.dll
LBTServ.dll,load,shellcode
shellcode,inject,svchost.exe
svchost.exe,contact,instructor[.]giize[.]com
instructor[.]giize[.]com,redirect to,attacker's IP
dropper malware,reach out to,goog1eupdate[.]com
shellcode,purpose,start a reverse shell
start a reverse shell,to,microsofto.duckdns[.]org
MSDriverMonitor.exe,drop,DllHelper.exe
DllHelper.exe,different file size,MSDriverMonitor.exe
DCRat,contact,star-cz[.]ddns[.]net
star-cz[.]ddns[.]net,IP,103[.]27[.]202[.]127
malicious actors,deliver,malware
AsyncRAT,hosted on,dc5b-163-123-142-137[.]ngrok[.]io
AsyncRAT,connect to,C&C servers
itinerary.zip,hosted on,dc5b-163-123-142-137[.]ngrok[.]io
travel_details.iso,hosted on,dc5b-163-123-142-137[.]ngrok[.]io
activities_and_dates.iso,hosted on,dc5b-163-123-142-137[.]ngrok[.]io
Itinerary.exe,hosted on,dc5b-163-123-142-137[.]ngrok[.]io
Quasar RAT,connect to,C2 server
C2 server,domain,opensea-user-reward[.]serveusers[.]com
VirusTotal,upload,Calc
Ave Maria,connect to,C2 server
PandorahVNC RAT,inject into,RegAsm.exe
PandorahVNC RAT,steal credentials from,Chrome
PandorahVNC RAT,steal credentials from,Microsoft Edge
PandorahVNC RAT,steal credentials from,Firefox
PandorahVNC RAT,steal credentials from,Outlook
PandorahVNC RAT,steal credentials from,Foxmail
